(?:)
(?:)
&#10;	!\n!
&#x2C9B;	ⲛ
&#x2C9C;	Ⲝ
&#x2C9D;	ⲝ
&#x2C9E;	Ⲟ
&#x2C9F;	ⲟ
&#x2CA0;	Ⲡ
&#x2CA1;	ⲡ
&#x2CA2;	Ⲣ
&#x2CA3;	ⲣ
&#x2CA4;	Ⲥ
&#x2CA5;	ⲥ
&#x2CA6;	Ⲧ
&#x2CA7;	ⲧ
&#x2CA8;	Ⲩ
&#x2CA9;	ⲩ
&#x2CAA;	Ⲫ
&#x2CAB;	ⲫ
&#x2CAC;	Ⲭ
&#x2CAD;	ⲭ
&#x2CAE;	Ⲯ
&#x2CAF;	ⲯ
&#x2CB0;	Ⲱ
&#x2CB1;	ⲱ
&#x2D30;	ⴰ
&#x2D31;	ⴱ
&#x2D32;	ⴲ
&#x2D33;	ⴳ
&#x2D34;	ⴴ
&#x2D35;	ⴵ
&#x2D36;	ⴶ
&#x2D37;	ⴷ
&#x2D38;	ⴸ
&#x2D39;	ⴹ
&#x2D3A;	ⴺ
&#x2D3B;	ⴻ
&#x2D3C;	ⴼ
&#x2D3D;	ⴽ
&#x2D3E;	ⴾ
&#x2D3F;	ⴿ
&#x2D40;	ⵀ
&#x2D41;	ⵁ
&#x2D42;	ⵂ
&#x2D43;	ⵃ
&#x2D44;	ⵄ
&#x2D45;	ⵅ
&#x2D46;	ⵆ
&#x2D47;	ⵇ
&#x2D48;	ⵈ
&#x2D49;	ⵉ
&#x2D4A;	ⵊ
&#x2D4B;	ⵋ
&#x2D4C;	ⵌ
&#x2D4D;	ⵍ
&#x2D4E;	ⵎ
&#x2D4F;	ⵏ
&#x2D50;	ⵐ
&#x2D51;	ⵑ
&#x2D52;	ⵒ
&#x2D53;	ⵓ
&#x2D54;	ⵔ
&#x2D55;	ⵕ
&#x2D56;	ⵖ
&#x2D57;	ⵗ
&#x2D58;	ⵘ
&#x2D59;	ⵙ
&#x2D5A;	ⵚ
&#x2D5B;	ⵛ
&#x2D5C;	ⵜ
&#x2D5D;	ⵝ
&#x2D5E;	ⵞ
&#x2D5F;	ⵟ
&#x2D60;	ⵠ
&#x2D61;	ⵡ
&#x2D62;	ⵢ
&#x2D63;	ⵣ
&#x2D64;	ⵤ
&#x2D65;	ⵥ
&#x2D6F;	ⵯ
&#12288;	　
&#12289;	、
&#12290;	。
&#12293;	々
&#12295;	〇
&#x3008;	〈
&#x3009;	〉
&#x300a;	《
&#x300b;	》
&#12300;	「
&#12301;	」
&#12302;	『
&#12303;	』
&#12304;	【
&#12305;	】
&#12306;	〒
&#12308;	〔
&#12309;	〕
&#12353;	ぁ
&#x3042;	あ
&#12356;	い
&#12358;	う
&#12360;	え
&#12362;	お
&#12363;	か
&#12364;	が
&#12365;	き
&#12366;	ぎ
&#12367;	く
&#12368;	ぐ
&#12369;	け
&#12370;	げ
&#12371;	こ
&#12372;	ご
&#12373;	さ
&#12374;	ざ
&#12375;	し
&#12376;	じ
&#12377;	す
&#12378;	ず
&#12379;	せ
&#12381;	そ
&#12382;	ぞ
&#12383;	た
&#12384;	だ
&#12385;	ち
&#12387;	っ
&#12388;	つ
&#12389;	づ
&#12390;	て
&#12391;	で
&#12392;	と
&#12393;	ど
&#12394;	な
&#12395;	に
&#12396;	ぬ
&#12397;	ね
&#12398;	の
&#x306F;	は
&#12401;	ぱ
&#12402;	ひ
&#12403;	び
&#12405;	ふ
&#12406;	ぶ
&#12407;	ぷ
&#12408;	へ
&#12409;	べ
&#12411;	ほ
&#x307c;	ぼ
&#12413;	ぽ
&#12414;	ま
&#12415;	み
&#12416;	む
&#12417;	め
&#12418;	も
&#12419;	ゃ
&#12420;	や
&#12421;	ゅ
&#12422;	ゆ
&#12423;	ょ
&#12424;	よ
&#12425;	ら
&#12426;	り
&#12427;	る
&#12428;	れ
&#12429;	ろ
&#12431;	わ
&#12434;	を
&#x3093;	ん
&#12448;	゠
&#12449;	ァ
&#x30a2;	ア
&#12451;	ィ
&#12452;	イ
&#12453;	ゥ
&#x30a6;	ウ
&#12455;	ェ
&#x30a8;	エ
&#12457;	ォ
&#12458;	オ
&#12459;	カ
&#12460;	ガ
&#12461;	キ
&#12462;	ギ
&#12463;	ク
&#12464;	グ
&#12465;	ケ
&#x30B2;	ゲ
&#12467;	コ
&#12468;	ゴ
&#12469;	サ
&#12470;	ザ
&#12471;	シ
&#12472;	ジ
&#x30B9;	ス
&#12474;	ズ
&#12475;	セ
&#12476;	ゼ
&#12477;	ソ
&#12478;	ゾ
&#12479;	タ
&#12480;	ダ
&#12481;	チ
&#12482;	ヂ
&#12483;	ッ
&#12484;	ツ
&#12486;	テ
&#x30C7;	デ
&#12488;	ト
&#12489;	ド
&#12490;	ナ
&#12491;	ニ
&#12492;	ヌ
&#12493;	ネ
&#12494;	ノ
&#12495;	ハ
&#12496;	バ
&#12497;	パ
&#12498;	ヒ
&#12499;	ビ
&#12500;	ピ
&#12501;	フ
&#x30D6;	ブ
&#12503;	プ
&#12504;	ヘ
&#x30D9;	ベ
&#12506;	ペ
&#12507;	ホ
&#12508;	ボ
&#12509;	ポ
&#12510;	マ
&#12511;	ミ
&#12512;	ム
&#12513;	メ
&#12514;	モ
&#12515;	ャ
&#12516;	ヤ
&#12517;	ュ
&#12518;	ユ
&#x30E7;	ョ
&#12520;	ヨ
&#12521;	ラ
&#x30ea;	リ
&#12523;	ル
&#12524;	レ
&#12525;	ロ
&#12527;	ワ
&#12531;	ン
&#12532;	ヴ
&#12534;	ヶ
&#x30FB;	・
&#x30FC;	ー
&#12566;	ㄖ
&#12567;	ㄗ
&#12572;	ㄜ
&#12582;	ㄦ
&#12593;	ㄱ
&#12594;	ㄲ
&#12595;	ㄳ
&#12596;	ㄴ
&#12597;	ㄵ
&#12598;	ㄶ
&#12599;	ㄷ
&#12600;	ㄸ
&#12601;	ㄹ
&#12602;	ㄺ
&#12603;	ㄻ
&#12604;	ㄼ
&#12605;	ㄽ
&#12606;	ㄾ
&#12607;	ㄿ
&#12608;	ㅀ
&#12609;	ㅁ
&#12610;	ㅂ
&#12611;	ㅃ
&#12612;	ㅄ
&#12613;	ㅅ
&#12614;	ㅆ
&#12615;	ㅇ
&#12616;	ㅈ
&#12617;	ㅉ
&#12618;	ㅊ
&#12619;	ㅋ
&#12620;	ㅌ
&#12621;	ㅍ
&#12622;	ㅎ
&#12623;	ㅏ
&#12624;	ㅐ
&#12625;	ㅑ
&#12626;	ㅒ
&#12627;	ㅓ
&#12628;	ㅔ
&#12629;	ㅕ
&#12630;	ㅖ
&#12631;	ㅗ
&#12632;	ㅘ
&#12633;	ㅙ
&#12634;	ㅚ
&#12635;	ㅛ
&#12636;	ㅜ
&#12637;	ㅝ
&#12638;	ㅞ
&#12639;	ㅟ
&#12640;	ㅠ
&#12641;	ㅡ
&#12642;	ㅢ
&#12643;	ㅣ
&#12828;	㈜
&#13192;	㎈
&#13214;	㎞
&#13218;	㎢
&#13222;	㎦
&#13225;	㎩
&#13226;	㎪
&#13250;	㏂
&#13266;	㏒
&#13267;	㏓
&#13272;	㏘
&#x340c;	㐌
&#13774;	㗎
&#13877;	㘵
&#19968;	一
&#19969;	丁
&#19971;	七
&#19975;	万
&#19976;	丈
&#x4E09;	三
&#19978;	上
&#19979;	下
&#19981;	不
&#19982;	与
&#19984;	丐
&#19985;	丑
&#19987;	专
&#19988;	且
&#19989;	丕
&#19990;	世
&#19992;	丘
&#19993;	丙
&#19994;	业
&#19996;	东
&#19997;	丝
&#20001;	両
&#20004;	两
&#20005;	严
&#20006;	並
&#20008;	丨
&#20010;	个
&#20012;	丬
&#20013;	中
&#20016;	丰
&#20018;	串
&#20020;	临
&#20022;	丶
&#x4E38;	丸
&#20025;	丹
&#20026;	为
&#20027;	主
&#20029;	丽
&#20030;	举
&#20031;	丿
&#20035;	乃
&#20037;	久
&#20040;	么
&#20041;	义
&#20043;	之
&#20044;	乌
&#20045;	乍
&#20048;	乐
&#20050;	乒
&#20051;	乓
&#20052;	乔
&#20055;	乗
&#20056;	乘
&#20057;	乙
&#20060;	乜
&#20061;	九
&#20062;	乞
&#20063;	也
&#20064;	习
&#20065;	乡
&#20070;	书
&#20073;	乩
&#20080;	买
&#20081;	乱
&#20083;	乳
&#20094;	乾
&#20096;	亀
&#20098;	亂
&#20102;	了
&#20104;	予
&#20105;	争
&#20107;	事
&#20108;	二
&#x4e8e;	于
&#20113;	云
&#20114;	互
&#x4E94;	五
&#20117;	井
&#20121;	亙
&#20122;	亚
&#20123;	些
&#20124;	亜
&#20126;	亞
&#20128;	亠
&#20129;	亡
&#20130;	亢
&#20132;	交
&#20133;	亥
&#20134;	亦
&#20135;	产
&#20136;	亨
&#20137;	亩
&#20140;	京
&#20141;	亭
&#20142;	亮
&#20146;	亲
&#20147;	亳
&#20150;	亶
&#20154;	人
&#20155;	亻
&#20159;	亿
&#20160;	什
&#20161;	仁
&#20162;	仂
&#20164;	仄
&#20167;	仇
&#20170;	今
&#20171;	介
&#20174;	从
&#20175;	仏
&#20177;	仑
&#20179;	仓
&#20180;	仔
&#x4ED5;	仕
&#20182;	他
&#20184;	付
&#20185;	仙
&#20193;	仡
&#20195;	代
&#20196;	令
&#20197;	以
&#20200;	仨
&#20202;	仪
&#20203;	仫
&#20204;	们
&#20206;	仮
&#20208;	仰
&#20210;	仲
&#20214;	件
&#20215;	价
&#x4efb;	任
&#20221;	份
&#20225;	企
&#20234;	伊
&#20237;	伍
&#20238;	伎
&#20239;	伏
&#20240;	伐
&#20241;	休
&#20248;	优
&#20249;	伙
&#x4F1A;	会
&#20253;	伝
&#20255;	伟
&#20256;	传
&#20260;	伤
&#20262;	伦
&#20271;	伯
&#20276;	伴
&#20278;	伶
&#20282;	伺
&#20284;	似
&#20285;	伽
&#20294;	但
&#20301;	位
&#20302;	低
&#20303;	住
&#20304;	佐
&#20305;	佑
&#20307;	体
&#20309;	何
&#20311;	佗
&#20312;	佘
&#20313;	余
&#20314;	佚
&#20315;	佛
&#20316;	作
&#20319;	佟
&#20320;	你
&#20322;	佢
&#20324;	佤
&#20329;	佩
&#20332;	佬
&#20336;	佰
&#20339;	佳
&#20341;	併
&#20350;	佾
&#20351;	使
&#20355;	侃
&#20358;	來
&#20363;	例
&#20365;	侍
&#20367;	侏
&#20369;	侑
&#20375;	侗
&#20379;	供
&#20381;	依
&#20384;	侠
&#20385;	価
&#20392;	侨
&#20396;	侬
&#20399;	侯
&#20405;	侵
&#20415;	便
&#20417;	俁
&#20418;	係
&#20420;	俄
&#20426;	俊
&#20430;	俎
&#20432;	俐
&#20439;	俗
&#20445;	保
&#20448;	俠
&#20449;	信
&#20451;	俣
&#20462;	修
&#20474;	俺
&#20478;	俾
&#20489;	倉
&#20491;	個
&#20492;	倌
&#20493;	倍
&#20497;	們
&#20498;	倒
&#20505;	候
&#20516;	値
&#20521;	倩
&#20522;	倪
&#20523;	倫
&#20525;	倭
&#20534;	倶
&#20540;	值
&#20551;	假
&#20553;	偉
&#20559;	偏
&#20572;	停
&#20581;	健
&#20596;	側
&#20598;	偶
&#20605;	偽
&#20607;	偿
&#20613;	傅
&#20616;	傈
&#20625;	傑
&#20633;	備
&#20643;	傣
&#20648;	储
&#20652;	催
&#20658;	傲
&#20659;	傳
&#20661;	債
&#20663;	傷
&#20685;	働
&#20687;	像
&#20689;	僑
&#20693;	僕
&#20698;	僚
&#20711;	僧
&#20718;	僮
&#20723;	僳
&#20725;	僵
&#20736;	儀
&#20740;	億
&#20745;	儉
&#20747;	儋
&#20754;	儒
&#20778;	優
&#20796;	儼
&#20799;	儿
&#20800;	兀
&#20801;	允
&#20803;	元
&#20804;	兄
&#20805;	充
&#20806;	兆
&#20807;	兇
&#20808;	先
&#20809;	光
&#20811;	克
&#20812;	兌
&#20816;	児
&#20818;	兒
&#20820;	兔
&#20826;	党
&#20828;	兜
&#20837;	入
&#20839;	內
&#20840;	全
&#20841;	兩
&#x516B;	八
&#20844;	公
&#x516D;	六
&#20848;	兰
&#20849;	共
&#20851;	关
&#20852;	兴
&#20853;	兵
&#20854;	其
&#20855;	具
&#20856;	典
&#20857;	兹
&#20859;	养
&#20860;	兼
&#20864;	冀
&#20869;	内
&#20870;	円
&#20871;	冇
&#20872;	冈
&#20874;	冊
&#20876;	册
&#20877;	再
&#20882;	冒
&#20886;	冖
&#20887;	冗
&#20889;	写
&#20891;	军
&#20892;	农
&#20896;	冠
&#20900;	冤
&#20901;	冥
&#20904;	冨
&#20906;	冪
&#20907;	冫
&#20908;	冬
&#20912;	冰
&#20914;	冲
&#20917;	况
&#20919;	冷
&#20923;	冻
&#20934;	准
&#20937;	凉
&#20939;	凋
&#20940;	凌
&#20941;	凍
&#20943;	减
&#20957;	凝
&#20960;	几
&#20961;	凡
&#20964;	凤
&#20966;	処
&#20975;	凯
&#20976;	凰
&#20977;	凱
&#20979;	凳
&#20982;	凶
&#20984;	凸
&#20985;	凹
&#20986;	出
&#20989;	函
&#20992;	刀
&#20994;	刂
&#20995;	刃
&#20998;	分
&#20999;	切
&#21002;	刊
&#21009;	刑
&#21010;	划
&#21015;	列
&#21016;	刘
&#21017;	则
&#21018;	刚
&#21021;	初
&#21024;	删
&#21028;	判
&#21029;	別
&#21032;	刨
&#21033;	利
&#21035;	别
&#21040;	到
&#21046;	制
&#21047;	刷
&#21048;	券
&#21050;	刺
&#21051;	刻
&#21063;	則
&#21066;	削
&#21068;	剌
&#21069;	前
&#21073;	剑
&#21076;	剔
&#21078;	剖
&#21083;	剛
&#21085;	剝
&#21091;	剣
&#21092;	剤
&#21095;	剧
&#21098;	剪
&#21103;	副
&#21106;	割
&#21109;	創
&#21123;	劃
&#21127;	劇
&#21129;	劉
&#21133;	劍
&#21147;	力
&#21150;	办
&#21151;	功
&#21152;	加
&#21153;	务
&#21160;	动
&#21161;	助
&#21162;	努
&#21163;	劫
&#21165;	劭
&#x52b3;	劳
&#21172;	労
&#21177;	効
&#21185;	勁
&#21189;	勅
&#x52c7;	勇
&#21202;	勒
&#21205;	動
&#21208;	勘
&#21209;	務
&#21211;	勛
&#x52dd;	勝
&#21214;	勞
&#21215;	募
&#21218;	勢
&#21220;	勤
&#21234;	勲
&#21235;	勳
&#21240;	勸
&#21241;	勹
&#21242;	勺
&#21246;	勾
&#21247;	勿
&#21253;	包
&#21256;	匈
&#21270;	化
&#x5317;	北
&#21273;	匙
&#21281;	匡
&#21290;	匪
&#21295;	匯
&#21305;	匹
&#21306;	区
&#21307;	医
&#21311;	匿
&#21312;	區
&#x5341;	十
&#21315;	千
&#21316;	卄
&#21319;	升
&#21320;	午
&#21321;	卉
&#21322;	半
&#21326;	华
&#21327;	协
&#21329;	卑
&#21330;	卒
&#21331;	卓
&#x5354;	協
&#21333;	单
&#21335;	南
&#21336;	単
&#21338;	博
&#21340;	卜
&#21344;	占
&#21345;	卡
&#21346;	卢
&#21350;	卦
&#21351;	卧
&#21355;	卫
&#21359;	卯
&#21360;	印
&#21361;	危
&#21363;	即
&#21364;	却
&#21365;	卵
&#21367;	卷
&#21371;	卻
&#21375;	卿
&#21378;	厂
&#21381;	厅
&#21382;	历
&#21387;	压
&#21400;	厘
&#21402;	厚
&#21405;	厝
&#21407;	原
&#21413;	厥
&#21414;	厦
&#21426;	厲
&#21427;	厳
&#21435;	去
&#21439;	县
&#21441;	叁
&#21442;	参
&#21443;	參
&#21448;	又
&#21449;	叉
&#21450;	及
&#21451;	友
&#21452;	双
&#21453;	反
&#21457;	发
&#21460;	叔
&#21462;	取
&#21463;	受
&#21464;	变
&#21465;	叙
&#21471;	叟
&#21473;	叡
&#21475;	口
&#21476;	古
&#21477;	句
&#21481;	叩
&#21482;	只
&#21483;	叫
&#21484;	召
&#21487;	可
&#21488;	台
&#21489;	叱
&#21490;	史
&#21491;	右
&#21494;	叶
&#21495;	号
&#21496;	司
&#21499;	叻
&#21507;	吃
&#21508;	各
&#x5408;	合
&#21513;	吉
&#21514;	吊
&#21515;	吋
&#21516;	同
&#21517;	名
&#21518;	后
&#21519;	吏
&#21520;	吐
&#21521;	向
&#21522;	吒
&#21523;	吓
&#21524;	吔
&#21525;	吕
&#21531;	君
&#21534;	吞
&#21542;	否
&#21543;	吧
&#21544;	吨
&#21547;	含
&#21548;	听
&#21551;	启
&#21555;	吳
&#21556;	吴
&#21560;	吸
&#21561;	吹
&#21563;	吻
&#21564;	吼
&#21566;	吾
&#21568;	呀
&#21570;	呂
&#21571;	呃
&#21576;	呈
&#21577;	呉
&#21578;	告
&#21582;	呎
&#21584;	呐
&#21592;	员
&#21602;	呢
&#21608;	周
&#21610;	呪
&#21619;	味
&#21628;	呼
&#21629;	命
&#21632;	咀
&#21633;	咁
&#x548C;	和
&#21647;	咏
&#21654;	咖
&#21655;	咗
&#21672;	咨
&#21673;	咩
&#21674;	咪
&#21675;	咫
&#21676;	咬
&#21681;	咱
&#21682;	咲
&#21683;	咳
&#21688;	咸
&#21696;	哀
&#21697;	品
&#21698;	哂
&#21704;	哈
&#21707;	哋
&#21709;	响
&#21710;	哎
&#21729;	員
&#21733;	哥
&#21737;	哩
&#21741;	哭
&#21746;	哲
&#21764;	唄
&#21776;	唐
&#21780;	唔
&#21797;	唥
&#21799;	唧
&#21807;	唯
&#21809;	唱
&#21813;	唵
&#21814;	唶
&#21828;	啄
&#21830;	商
&#21839;	問
&#21843;	啓
&#21855;	啟
&#21860;	啤
&#21873;	啱
&#21874;	啲
&#21884;	啼
&#21888;	喀
&#21892;	善
&#21894;	喆
&#21895;	喇
&#21898;	喊
&#21904;	喐
&#21916;	喜
&#21919;	喟
&#21925;	喥
&#21932;	喬
&#21934;	單
&#21942;	営
&#21946;	喺
&#21957;	嗅
&#21969;	嗑
&#21987;	嗣
&#21994;	嗪
&#22000;	嗰
&#22013;	嗽
&#22021;	嘅
&#22025;	嘉
&#22030;	嘎
&#22031;	嘏
&#22038;	嘖
&#22039;	嘗
&#22044;	嘜
&#22046;	嘞
&#22050;	嘢
&#22053;	嘥
&#22068;	嘴
&#22092;	噌
&#22120;	器
&#22122;	噪
&#22124;	噬
&#22127;	噯
&#22132;	噴
&#22134;	噶
&#22139;	噻
&#22175;	嚟
&#22177;	嚡
&#22195;	嚳
&#22196;	嚴
&#22207;	嚿
&#22210;	囂
&#22218;	囊
&#22221;	囍
&#22223;	囏
&#22230;	囖
&#22234;	囚
&#x56DB;	四
&#22238;	回
&#22240;	因
&#22242;	团
&#22243;	団
&#22253;	园
&#22255;	囯
&#22256;	困
&#22259;	図
&#22260;	围
&#22266;	固
&#x56fd;	国
&#22270;	图
&#22272;	圀
&#22275;	圃
&#22276;	圄
&#22278;	圆
&#22280;	圈
&#x570B;	國
&#22285;	圍
&#22287;	圏
&#22290;	園
&#22291;	圓
&#22294;	圖
&#22296;	團
&#22300;	圜
&#22303;	土
&#22307;	圣
&#22312;	在
&#22317;	圭
&#22320;	地
&#22330;	场
&#22336;	址
&#22338;	坂
&#22343;	均
&#22346;	坊
&#22350;	坎
&#22352;	坐
&#22353;	坑
&#22362;	坚
&#22363;	坛
&#22365;	坝
&#22369;	坡
&#22372;	坤
&#22374;	坦
&#22378;	坪
&#22389;	坵
&#22402;	垂
&#22411;	型
&#22419;	垓
&#x57a2;	垢
&#22435;	垣
&#22441;	垩
&#22467;	埃
&#22475;	埋
&#22478;	城
&#22484;	埔
&#22485;	埕
&#22495;	域
&#22496;	埠
&#22509;	埭
&#22511;	埯
&#22519;	執
&#22521;	培
&#22522;	基
&#22524;	埼
&#22528;	堀
&#22530;	堂
&#22531;	堃
&#22533;	堅
&#22534;	堆
&#22535;	堇
&#22561;	堡
&#22564;	堤
&#22575;	堯
&#22576;	堰
&#22577;	報
&#22580;	場
&#22581;	堵
&#22593;	塁
&#22602;	塊
&#22609;	塑
&#22612;	塔
&#22616;	塘
&#22618;	塚
&#22622;	塞
&#22633;	塩
&#22635;	填
&#22645;	塵
&#22654;	塾
&#22659;	境
&#22675;	墓
&#22679;	増
&#22681;	墙
&#22686;	增
&#22687;	墟
&#22696;	墨
&#22697;	墩
&#22702;	墮
&#22707;	墳
&#22721;	壁
&#22727;	壇
&#22730;	壊
&#22756;	壤
&#22763;	士
&#22764;	壬
&#22766;	壮
&#22767;	壯
&#22768;	声
&#22770;	売
&#22771;	壳
&#22777;	壹
&#22778;	壺
&#22781;	壽
&#22786;	夂
&#22788;	处
&#22791;	备
&#22793;	変
&#22797;	复
&#22799;	夏
&#22804;	夔
&#22805;	夕
&#22806;	外
&#22809;	夙
&#22810;	多
&#22812;	夜
&#22818;	夢
&#22823;	大
&#22825;	天
&#x592A;	太
&#22827;	夫
&#22828;	夬
&#22830;	央
&#22833;	失
&#22836;	头
&#22839;	夷
&#22840;	夸
&#22855;	奇
&#22856;	奈
&#22857;	奉
&#22862;	奎
&#22863;	奏
&#22864;	奐
&#22865;	契
&#22869;	奕
&#22870;	奖
&#22871;	套
&#22872;	奘
&#22874;	奚
&#22885;	奥
&#22887;	奧
&#22888;	奨
&#22893;	奭
&#22894;	奮
&#22899;	女
&#22900;	奴
&#22902;	奶
&#22904;	奸
&#22905;	她
&#22909;	好
&#22914;	如
&#22915;	妃
&#22916;	妄
&#22919;	妇
&#22920;	妈
&#22922;	妊
&#22925;	妍
&#22934;	妖
&#22937;	妙
&#22949;	妥
&#22958;	妮
&#22962;	妲
&#22969;	妹
&#22971;	妻
&#22982;	姆
&#22986;	姊
&#22987;	始
&#22992;	姐
&#22993;	姑
&#22995;	姓
&#22996;	委
&#23002;	姚
&#23004;	姜
&#23012;	姤
&#23019;	姫
&#23020;	姬
&#23035;	姻
&#23041;	威
&#23043;	娃
&#23044;	娄
&#23064;	娘
&#23072;	娠
&#23077;	娥
&#23090;	娲
&#23105;	婁
&#23110;	婆
&#23113;	婉
&#23130;	婚
&#23138;	婢
&#23142;	婦
&#23159;	婷
&#23186;	媒
&#23194;	媚
&#23195;	媛
&#23207;	媧
&#23229;	媽
&#23234;	嫂
&#23244;	嫌
&#23256;	嫘
&#23265;	嫡
&#23270;	嫦
&#23291;	嫻
&#23308;	嬌
&#23338;	嬪
&#23344;	嬰
&#23348;	嬴
&#23376;	子
&#23380;	孔
&#23383;	字
&#23384;	存
&#23385;	孙
&#23386;	孚
&#23387;	孛
&#23388;	孜
&#23389;	孝
&#23391;	孟
&#23395;	季
&#23396;	孤
&#23398;	学
&#23403;	孫
&#23416;	學
&#23424;	宀
&#23425;	宁
&#23429;	宅
&#23431;	宇
&#23432;	守
&#x5b89;	安
&#23435;	宋
&#23436;	完
&#23439;	宏
&#23447;	宗
&#23448;	官
&#23449;	宙
&#23450;	定
&#23452;	宜
&#23453;	宝
&#23454;	实
&#23455;	実
&#23458;	客
&#23459;	宣
&#23460;	室
&#23466;	宪
&#23467;	宫
&#23470;	宮
&#23472;	宰
&#23475;	害
&#23477;	宵
&#23478;	家
&#23480;	宸
&#23481;	容
&#23486;	宾
&#23487;	宿
&#23490;	寂
&#23492;	寄
&#23493;	寅
&#x5BC6;	密
&#23495;	寇
&#23500;	富
&#23506;	寒
&#23507;	寓
&#23515;	寛
&#23517;	寝
&#23519;	察
&#23522;	寢
&#23526;	實
&#23527;	寧
&#23528;	寨
&#23529;	審
&#23532;	寬
&#23534;	寮
&#23542;	寶
&#23544;	寸
&#23545;	对
&#23546;	寺
&#23547;	寻
&#23548;	导
&#23550;	対
&#23551;	寿
&#23553;	封
&#23554;	専
&#23556;	射
&#23558;	将
&#23559;	將
&#23560;	專
&#23561;	尉
&#23562;	尊
&#23563;	尋
&#23565;	對
&#23566;	導
&#23567;	小
&#23569;	少
&#23572;	尔
&#23577;	尙
&#23578;	尚
&#23588;	尤
&#23591;	尧
&#23601;	就
&#23608;	尸
&#23609;	尹
&#23610;	尺
&#23612;	尼
&#23614;	尾
&#23615;	尿
&#23616;	局
&#23618;	层
&#23621;	居
&#23624;	屈
&#23627;	屋
&#23629;	屍
&#23631;	屏
&#23646;	属
&#23648;	屠
&#23652;	層
&#23653;	履
&#23660;	屬
&#23661;	屭
&#23663;	屯
&#23665;	山
&#23673;	屹
&#23696;	岐
&#23697;	岑
&#23703;	岗
&#23707;	岛
&#23713;	岡
&#23721;	岩
&#23724;	岬
&#23725;	岭
&#23729;	岱
&#23731;	岳
&#23735;	岷
&#23736;	岸
&#23751;	峇
&#23777;	峡
&#23784;	峨
&#23786;	峪
&#23791;	峯
&#23792;	峰
&#23798;	島
&#23803;	峻
&#23805;	峽
&#23815;	崇
&#23822;	崎
&#23825;	崑
&#23828;	崔
&#23830;	崖
&#23831;	崗
&#23833;	崙
&#23849;	崩
&#23857;	崱
&#23883;	嵋
&#23884;	嵌
&#23913;	嵩
&#23916;	嵬
&#23919;	嵯
&#23947;	嶋
&#23991;	嶷
&#23994;	嶺
&#23996;	嶼
&#23997;	嶽
&#24011;	巋
&#24012;	巌
&#24013;	巍
&#24022;	巖
&#24029;	川
&#24030;	州
&#24033;	巡
&#24034;	巢
&#24037;	工
&#24038;	左
&#24039;	巧
&#24040;	巨
&#24041;	巩
&#24043;	巫
&#24046;	差
&#24049;	己
&#24050;	已
&#24051;	巳
&#24052;	巴
&#24059;	巻
&#24061;	巽
&#24062;	巾
&#24065;	币
&#24066;	市
&#24067;	布
&#24070;	帆
&#24072;	师
&#24076;	希
&#24080;	帐
&#24085;	帕
&#24086;	帖
&#24091;	帛
&#24092;	帜
&#24093;	帝
&#24101;	帥
&#24102;	带
&#24107;	師
&#24109;	席
&#24110;	帮
&#24111;	帯
&#24112;	帰
&#24118;	帶
&#24120;	常
&#24125;	帽
&#24133;	幅
&#24140;	幌
&#24149;	幕
&#24163;	幣
&#24171;	幫
&#24172;	幬
&#24178;	干
&#24179;	平
&#24180;	年
&#24182;	并
&#24183;	幷
&#24184;	幸
&#24185;	幹
&#24186;	幺
&#24187;	幻
&#24188;	幼
&#24189;	幽
&#24190;	幾
&#24191;	广
&#24193;	庁
&#24195;	広
&#24196;	庄
&#24198;	庆
&#24202;	床
&#24207;	序
&#24211;	库
&#24212;	应
&#24213;	底
&#24215;	店
&#24218;	庚
&#24220;	府
&#24222;	庞
&#24230;	度
&#24231;	座
&#24235;	庫
&#24237;	庭
&#24245;	庵
&#24246;	庶
&#24247;	康
&#24248;	庸
&#24254;	庾
&#24258;	廂
&#24259;	廃
&#24265;	廉
&#24266;	廊
&#24273;	廑
&#24278;	廖
&#24281;	廙
&#24287;	廟
&#24288;	廠
&#24290;	廢
&#24291;	廣
&#24297;	廩
&#24300;	廬
&#24307;	廳
&#24308;	廴
&#24310;	延
&#24311;	廷
&#24314;	建
&#24319;	廿
&#24320;	开
&#24321;	弁
&#24322;	异
&#24332;	弌
&#24333;	弍
&#24334;	弎
&#24335;	式
&#24339;	弓
&#24340;	弔
&#24341;	引
&#24343;	弗
&#24344;	弘
&#24351;	弟
&#24352;	张
&#24357;	弥
&#24358;	弦
&#24359;	弧
&#24361;	弩
&#24369;	弱
&#24373;	張
&#24375;	強
&#24377;	弹
&#24378;	强
&#24380;	弼
&#24382;	弾
&#24396;	彌
&#24398;	彎
&#24402;	归
&#24403;	当
&#24405;	录
&#24408;	彘
&#24413;	彝
&#24416;	彠
&#24417;	彡
&#24418;	形
&#24422;	彦
&#24423;	彧
&#24425;	彩
&#24426;	彪
&#24428;	彬
&#24429;	彭
&#24432;	彰
&#24433;	影
&#24435;	彳
&#24439;	彷
&#24441;	役
&#24444;	彼
&#24448;	往
&#24449;	征
&#24452;	径
&#24453;	待
&#24459;	律
&#24460;	後
&#24464;	徐
&#24466;	徒
&#24467;	従
&#24471;	得
&#24478;	從
&#24481;	御
&#24488;	徨
&#24489;	復
&#24490;	循
&#24494;	微
&#24499;	徳
&#24501;	徵
&#24503;	德
&#24505;	徹
&#24509;	徽
&#24515;	心
